id,stationName,totalDocks,latitude,longitude,stAddress1
3062,Myrtle Ave & Marcy Ave,23,40.69539817,-73.94954908,Myrtle Ave & Marcy Ave
3063,Nostrand Ave & Myrtle Ave,20,40.69527008,-73.95238108,Nostrand Ave & Myrtle Ave
3064,Myrtle Ave & Lewis Ave,23,40.69681963,-73.93756926,Myrtle Ave & Lewis Ave
3065,Union Ave & Wallabout St,27,40.70029511,-73.95032283,Union Ave & Wallabout St
3066,Tompkins Ave & Hopkins St,19,40.69957608,-73.94708417,Tompkins Ave & Hopkins St
3067,Broadway & Whipple St,27,40.7016657,-73.9437303,Broadway & Whipple St
3068,Humboldt St & Varet St,24,40.7031724,-73.940636,Humboldt St & Varet St
3069,Lorimer St & Broadway,25,40.70411791,-73.94818595,Lorimer St & Broadway
3070,McKibbin St & Manhattan Ave,23,40.70510918,-73.94407279,McKibbin St & Manhattan Ave
3071,Boerum St & Broadway,19,40.70538077,-73.94976519,Boerum St & Broadway
3072,Leonard St & Boerum St,24,40.70583339,-73.94644578,Leonard St & Boerum St
3073,Division Ave & Hooper St,27,40.70691254,-73.95441667,Division Ave & Hooper St
3074,Montrose Ave & Bushwick Ave,31,40.70767788,-73.94016171,Montrose Ave & Bushwick Ave
3075,Division Ave & Marcy Ave,33,40.70708701,-73.95796783,Division Ave & Marcy Ave
3076,Scholes St & Manhattan Ave,24,40.70870368,-73.9448625,Scholes St & Manhattan Ave
3077,Stagg St & Union Ave,33,40.70877084,-73.95095259,Stagg St & Union Ave
3078,Broadway & Roebling St,27,40.70925562,-73.95982218,Broadway & Roebling St
3079,Leonard St & Grand St,24,40.71103537,-73.94714303,Leonard St & Grand St
3080,S 4 St & Rodney St,21,40.70934,-73.95608,S 4 St & Rodney St
3081,Graham Ave & Grand St,23,40.711863,-73.944024,Graham Ave & Grand St
3082,Hope St & Union Ave,25,40.71167351,-73.95141312,Hope St & Union Ave
3083,Bushwick Ave & Powers St,30,40.71247661,-73.94100005,Bushwick Ave & Powers St
3084,Devoe St & Leonard St,19,40.71348658,-73.94792458,Devoe St & Leonard St
3085,Roebling St & N 4 St,25,40.71469,-73.95739,Roebling St & N 4 St
3086,Graham Ave & Conselyea St,25,40.715143,-73.944507,Graham Ave & Conselyea St
3087,Metropolitan Ave & Meeker Ave,36,40.71413311,-73.95234386,Metropolitan Ave & Meeker Ave
3088,Union Ave & Jackson St,19,40.7160751,-73.952029,Union Ave & Jackson St
3089,Leonard St & Meeker Ave,21,40.717318403855785,-73.94820213317871,Leonard St & Meeker Ave
3090,N 8 St & Driggs Ave,30,40.71774592,-73.95600096,N 8 St & Driggs Ave
3091,Frost St & Meeker St,31,40.71764,-73.94882,Frost St & Meeker St
3092,Berry St & N 8 St,27,40.7190095,-73.95852515,Berry St & N 8 St
3093,N 6 St & Bedford Ave,28,40.71745169,-73.95850939,N 6 St & Bedford Ave
3094,Graham Ave & Withers St,18,40.7169811,-73.94485918,Graham Ave & Withers St
3095,Graham Ave & Herbert St,23,40.71929301,-73.94500379,Graham Ave & Herbert St
3096,Union Ave & N 12 St,39,40.71924,-73.95242,Union Ave & N 12 St
3098,Leonard St & Bayard St,43,40.71928,-73.94861,Leonard St & Bayard St
3099,Leonard St & Manhattan Ave,19,40.72152240339303,-73.94898265600203,Leonard St & Manhattan Ave
3100,Nassau Ave & Newell St,39,40.724812564400175,-73.94752621650696,Nassau Ave & Newell St
3101,N 12 St & Bedford Ave,27,40.72079821,-73.95484712,N 12 St & Bedford Ave
3102,Driggs Ave & Lorimer St,27,40.72179134,-73.9504154,Driggs Ave & Lorimer St
3103,N 11 St & Wythe Ave,27,40.72153267,-73.95782357,N 11 St & Wythe Ave
3105,N 15 St & Wythe Ave,24,40.724055,-73.955736,N 15 St & Wythe Ave
3106,Driggs Ave & N Henry St,19,40.72325,-73.94308,Driggs Ave & N Henry St
3107,Bedford Ave & Nassau Ave,39,40.72311651,-73.95212324,Bedford Ave & Nassau Ave
3108,Nassau Ave & Russell St,24,40.72557,-73.94434,Nassau Ave & Russell St
3109,Banker St & Meserole Ave,31,40.72606,-73.95621,Banker St & Meserole Ave
3110,Meserole Ave & Manhattan Ave,27,40.72708584,-73.95299117,Meserole Ave & Manhattan Ave
3111,Norman Ave & Leonard St,25,40.7258483,-73.95064893,Norman Ave & Leonard St
